ID|Czas wytworzenia|Czas opuszczenia bufora|Czas opuszczenia sieci|Ilosc retransmisji|Czy poprawnie przeslany
1|364.9|368.4|374.4|0|1
6|384.8|384.8|386.8|0|1
9|403.6|404|408|0|1
9|407.1|408|410|0|1
5|405.5|410.5|415.5|0|1
5|420.5|421|432|0|1
9|426.9|435|441|0|1
6|449|449|456|0|1
8|490.7|490.7|497.7|0|1
6|510.3|510.3|514.3|0|1
6|514.3|514.3|520.3|0|1
1|527.9|529|538|0|1
0|543.9|543.9|552.9|0|1
6|572.7|573|582|0|1
6|606.8|608|611|0|1
3|609.7|612|616|0|1
7|653.2|653.2|655.2|0|1
1|661.6|662|664|0|1
1|668.7|669|676|0|1
7|672.9|676.4|680.4|0|1
2|674.7|681|690|0|1
1|682.4|690.4|701.4|0|1
4|681.6|703|708|0|1
5|713.5|714|724|0|1
2|718.6|724.1|732.1|0|1
9|724.2|732.2|743.2|0|1
2|737.7|743.7|750.7|0|1
7|727.9|767|771|0|1
0|759.8|771.3|777.3|0|1
4|720.6|751|780.5|2|1
1|734.2|781|800.5|1|1
1|787.5|800.5|819.5|1|1
9|793.6|819.6|821.6|0|1
7|845.8|851.3|862.3|0|1
6|721.3|751|870.5|5|0
6|854.9|870.5|894|1|1
0|838.6|870|899|1|1
0|896.4|899|906|0|1
5|864.4|870|923|3|1
0|922.1|924|933|0|1
9|794.9|822|943|5|0
3|740.8|751|962|4|1
9|883.3|943|970|1|1
9|895.1|970|973|0|1
9|930.8|973|976|0|1
3|769.1|982|995|1|1
3|838.4|995|1002|0|1
4|958.9|976.4|1019|3|1
8|999.4|1019.4|1034.4|1|1
6|1019|1035|1056|1|1
6|1044.8|1056|1075|1|1
0|931|933|1079.5|5|0
1|790|822|1122|5|0
5|1006.7|1035|1139|4|1
9|1046|1056|1141|3|1
0|1051|1114|1152|2|1
9|1098.5|1152|1172|2|1
2|816.9|830|1186.5|5|1
6|1066.4|1083|1193.5|5|0
8|1174.3|1197|1221|2|1
9|1230.6|1253.1|1262.1|0|1
3|840.5|1083|1273.5|5|0
3|1100|1273.5|1283.5|0|1
3|1252.1|1283.5|1305.5|1|1
8|1284.2|1315.7|1326.7|0|1
5|1293.8|1326.8|1329.8|0|1
6|1190.8|1197|1351.5|4|1
6|1218.4|1353|1362|0|1
0|1066|1152|1373|5|0
0|1359|1384|1392|0|1
6|1402.3|1402.3|1406.3|0|1
6|1402.6|1407|1409|0|1
8|1409.6|1410|1420|0|1
6|1417.4|1423|1433|0|1
7|1196|1206|1444|4|1
7|1223.6|1444|1451|0|1
1|837.2|1122|1463|5|0
7|1362.2|1452|1468|1|1
1|857.7|1471|1480|0|1
8|1481.8|1490.3|1495.3|0|1
9|1485.1|1496|1503|0|1
1|940.6|1481|1514|1|1
2|828.9|1186.5|1520|5|0
3|1262.6|1305.5|1536|5|0
9|1506.7|1531.2|1542.2|1|1
4|1029|1083|1560|5|0
5|1544.7|1549|1587|2|1
7|1584.4|1587.4|1594.4|0|1
3|1555.5|1560|1602.5|2|1
4|1052.9|1560|1613|2|1
6|1606.8|1613.3|1616.3|0|1
2|1130.2|1520|1618.5|4|1
2|1185.2|1618.5|1626.5|0|1
4|1221|1627|1641|1|1
7|1614.8|1641|1660|1|1
3|1654.1|1660.1|1667.1|0|1
6|1640.3|1667.3|1673.3|0|1
4|1305.8|1641|1684.5|1|1
4|1603.1|1684.5|1686.5|0|1
4|1624.1|1686.5|1692.5|0|1
8|1686.3|1692.8|1702.8|0|1
7|1642.6|1703|1721|1|1
9|1641.9|1703|1732|2|1
9|1662.9|1732|1742|0|1
0|1739.3|1742.3|1744.3|0|1
8|1743.4|1744.4|1753.4|0|1
1|1035.9|1514|1760|5|0
5|1767.5|1774|1787|1|1
1|1061.9|1787.5|1793.5|0|1
1|1280|1793.5|1795.5|0|1
4|1700.8|1796|1834|2|1
0|1816.8|1842.3|1853.3|0|1
